iter	Passed	Remaining
0	83	83178
1	102	51391
2	125	41549
3	143	35658
4	165	32917
5	184	30620
6	207	29479
7	225	28004
8	247	27203
9	268	26561
10	290	26129
11	312	25707
12	334	25360
13	352	24831
14	373	24546
15	395	24324
16	416	24082
17	436	23832
18	459	23707
19	480	23533
20	498	23262
21	519	23094
22	543	23069
23	562	22885
24	584	22786
25	602	22563
26	620	22354
27	641	22267
28	662	22189
29	684	22127
30	703	22002
31	727	22014
32	747	21897
33	764	21718
34	787	21705
35	809	21685
36	828	21557
37	851	21545
38	872	21509
39	892	21410
40	916	21446
41	934	21312
42	957	21312
43	980	21312
44	999	21208
45	1022	21197
46	1042	21137
47	1062	21069
48	1080	20967
49	1101	20930
50	1123	20915
51	1145	20876
52	1165	20823
53	1182	20720
54	1203	20676
55	1228	20706
56	1246	20616
57	1270	20631
58	1291	20599
59	1312	20568
60	1332	20513
61	1351	20451
62	1372	20419
63	1401	20499
64	1461	21016
65	1479	20938
66	1498	20863
67	1541	21124
68	1637	22097
69	1661	22076
70	1683	22033
71	1702	21938
72	1721	21855
73	1738	21755
74	1761	21723
75	1780	21653
76	1800	21579
77	1822	21543
78	1843	21492
79	1864	21436
80	1884	21385
81	1906	21340
82	1924	21267
83	1944	21203
84	1965	21158
85	1986	21108
86	2004	21037
87	2022	20959
88	2040	20885
89	2060	20836
90	2077	20753
91	2098	20713
92	2118	20664
93	2139	20616
94	2158	20564
95	2176	20499
96	2196	20450
97	2214	20385
98	2238	20370
99	2260	20342
100	2281	20308
101	2302	20273
102	2321	20216
103	2343	20194
104	2365	20162
105	2384	20107
106	2402	20048
107	2423	20016
108	2443	19977
109	2461	19915
110	2483	19891
111	2502	19842
112	2526	19831
113	2545	19782
114	2563	19725
115	2583	19691
116	2601	19636
117	2627	19635
118	2648	19609
119	2668	19567
120	2691	19549
121	2711	19513
122	2733	19488
123	2756	19471
124	2779	19456
125	2802	19442
126	2822	19400
127	2842	19364
128	2864	19341
129	2887	19324
130	2908	19291
131	2929	19261
132	2948	19221
133	2970	19196
134	2989	19152
135	3010	19125
136	3035	19118
137	3057	19098
138	3079	19073
139	3098	19031
140	3121	19019
141	3145	19007
142	3164	18966
143	3186	18940
144	3204	18894
145	3222	18849
146	3240	18801
147	3261	18774
148	3284	18761
149	3304	18723
150	3322	18679
151	3343	18655
152	3367	18642
153	3387	18611
154	3410	18591
155	3427	18545
156	3447	18510
157	3470	18496
158	3491	18467
159	3510	18428
160	3529	18390
161	3548	18356
162	3571	18342
163	3593	18319
164	3615	18296
165	3638	18278
166	3657	18244
167	3682	18237
168	3703	18212
169	3724	18183
170	3748	18173
171	3767	18135
172	3786	18101
173	3806	18067
174	3826	18039
175	3845	18002
176	3866	17977
177	3884	17936
178	3902	17899
179	3920	17862
180	3939	17823
181	3957	17788
182	3977	17758
183	3997	17728
184	4022	17718
185	4043	17697
186	4064	17670
187	4088	17656
188	4107	17626
189	4129	17604
190	4147	17568
191	4168	17544
192	4187	17511
193	4205	17473
194	4226	17446
195	4243	17408
196	4262	17375
197	4285	17357
198	4305	17328
199	4323	17292
200	4343	17267
201	4363	17238
202	4383	17209
203	4404	17184
204	4424	17157
205	4442	17124
206	4461	17091
207	4480	17060
208	4499	17028
209	4520	17004
210	4541	16980
211	4560	16950
212	4581	16927
213	4603	16908
214	4624	16885
