,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
0,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-01,2020,1,1,,1.2,,-0.9,,0.2,,17.8,,0.0,,0.0,,0.8,,0.8,,14.0,,26.0,,45.0,
1,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-02,2020,1,2,,3.4,,-1.8,,0.8,,17.2,,0.0,,0.0,,0.0,,0.0,,13.0,,23.0,,42.0,
2,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-03,2020,1,3,,4.6,,1.1,,2.9,,15.1,,0.0,,0.0,T,0.0,,0.0,T,10.0,,,M,,M
3,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-04,2020,1,4,,1.6,,-2.0,,-0.2,,18.2,,0.0,,0.0,,0.4,,0.4,,5.0,,3.0,,32.0,
4,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-05,2020,1,5,,-1.7,,-12.3,,-7.0,,25.0,,0.0,,0.0,,0.0,T,0.0,T,5.0,,29.0,,48.0,
5,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-06,2020,1,6,,-4.7,,-12.7,,-8.7,,26.7,,0.0,,0.0,,3.0,,2.6,,5.0,,,M,,M
6,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-07,2020,1,7,,-2.2,,-8.0,,-5.1,,23.1,,0.0,,0.0,,0.2,,0.2,,7.0,,26.0,,41.0,
7,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-08,2020,1,8,,-0.1,,-11.5,,-5.8,,23.8,,0.0,,0.0,,2.0,,2.0,,7.0,,28.0,,58.0,
8,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-09,2020,1,9,,-8.4,,-16.2,,-12.3,,30.3,,0.0,,0.0,,0.0,,0.0,,8.0,,26.0,,48.0,
9,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-10,2020,1,10,,2.7,,-10.3,,-3.8,,21.8,,0.0,,0.0,,0.0,T,0.0,T,8.0,,,M,,M
10,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-11,2020,1,11,,6.5,,-3.7,,1.4,,16.6,,0.0,,43.4,,0.8,,44.2,,5.0,,3.0,,68.0,
11,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-12,2020,1,12,,-3.7,,-9.8,,-6.8,,24.8,,0.0,,6.4,,10.2,,15.8,,5.0,,5.0,,68.0,
12,-73.74,45.47,MONTREAL INTL A,7025251,2020-01-13,2020,1,13,,-7.2,,-10.2,,-8.7,,26.7,,0.0,,0.0,,0.0,T,0.0,T,8.0,,,,,M
